"","iPSC","NPC","Fetal_replicating","Fetal_quiescent","OPC","Neurons","Astrocytes","Oligodendrocytes","Microglia","Endothelial"
"LBPSEMA4BRAIN001",-1.98310205778559e-17,-1.35497364165651e-18,3.08065913853294e-17,3.07701525802615e-19,1.68659391871669e-17,0.389980029243331,0.248462025564136,0.307223345927823,0.0254788177164404,0.0288557815482689
"LBPSEMA4BRAIN002",-1.16871492255416e-17,-3.82983012876568e-19,-1.49760769223459e-17,1.3175330099198e-19,-2.23602536855526e-18,0.283800887301596,0.235626987386434,0.400930870640368,0.058702506822508,0.020938747849094
"LBPSEMA4BRAIN003",-1.58832531261661e-17,-5.95278962149919e-18,-2.05822772186671e-17,0.0106037020238095,2.18135823622632e-17,0.391105135311058,0.185662956897597,0.33231341335473,0.0564736943972984,0.023841098015507
"LBPSEMA4BRAIN004",-1.22963044360961e-17,1.54065518720301e-18,1.7828194163565e-17,-4.0686500113011e-21,-9.92634610140245e-19,0.304493278591589,0.388919859673059,0.186130710794095,1.5551605514342e-18,0.120456150941257
"LBPSEMA4BRAIN005",1.41339952676564e-19,8.25026853265047e-19,2.84249222481626e-17,0.00997221303856829,1.78066564976733e-17,0.43679780190467,0.228503758861815,0.285652084806562,0.0073785268680217,0.0316956145203634
"LBPSEMA4BRAIN006",-2.49686435324927e-17,-2.8192919697545e-18,1.22002288000921e-17,1.98931082502357e-20,-1.0607319195779e-18,0.396036440875395,0.305292092105547,0.258617665530849,0.00865640913976109,0.0313973923484473
"LBPSEMA4BRAIN008",-3.10023985126887e-18,0.00239094244262964,-1.42404831341112e-18,1.29596293082596e-18,5.59786880910064e-18,0.069628416461297,0.283292333056799,0.471321251474624,0.12643150476591,0.0469355517987401
"LBPSEMA4BRAIN010",-1.38187004522522e-17,2.28688184944585e-18,1.74729165684876e-17,5.50979228195196e-19,1.22119109227589e-18,0.28516193219287,0.238864491650293,0.412209392360088,0.061321057213207,0.00244312658354213
"LBPSEMA4BRAIN012",-2.19527023440255e-17,4.33405585712619e-19,-3.56492936525925e-18,6.82193980942117e-19,2.03440931157901e-17,0.404783292850852,0.212455716811409,0.265918659958229,0.0361492205107568,0.0806931098687535
"LBPSEMA4BRAIN013",-1.55169017546621e-18,2.25514678793975e-18,4.16008374664547e-17,-3.00600708802527e-20,0.00317757195034622,0.278035958949971,0.35763075372339,0.13735300863699,0.0469524431285246,0.176850263610778
"LBPSEMA4BRAIN014",-2.0601024390219e-17,-2.68120127846614e-19,1.49408470716426e-17,1.16128627651878e-18,2.25101535091758e-17,0.370724625069905,0.285718050686349,0.280941546417994,0.0121401559106508,0.0504756219151008
"LBPSEMA4BRAIN015",-1.39433645557098e-17,3.43629930930919e-18,4.78330620353089e-17,0.0067517405679445,-9.11948079068259e-19,0.36378957870063,0.20907151803426,0.280862874176047,0.0807211397641421,0.0588031487569764
"LBPSEMA4BRAIN016",1.28442089119928e-18,0.00235247513909121,2.59995176902676e-17,-5.17882199836269e-18,2.14498126023196e-18,0.0635184140885645,0.272343855735644,0.497670927199026,0.0955569195827372,0.0685574082549371
"LBPSEMA4BRAIN017",-1.92598915909005e-17,-3.47414711572039e-18,1.69542678439984e-17,-1.21402271872932e-18,-3.22834895120702e-18,0.178292341090533,0.229194613513672,0.46110697557488,0.121434038275764,0.00997203154515091
"LBPSEMA4BRAIN019",-2.70575791696175e-17,1.68894771504398e-18,3.38371212196978e-17,-3.99056330362983e-19,-1.04766582272065e-18,0.303960823465495,0.299011378902033,0.32269580701092,0.0306756541297322,0.0436563364918194
"LBPSEMA4BRAIN020",-1.25637766811348e-17,-3.84943107027203e-18,-1.74365238315531e-18,-2.42251673822736e-18,1.67640146828329e-17,0.154992561674293,0.264809536219015,0.429793453333641,0.0924692853808205,0.0579351633922306
