"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"LBPSEMA4BRAIN001",-6.96964198127394,10.996202576618,3.89074036149489,-7.15843041988681,1.7641168234663,-1.51387888309291,6.81743234754602,-1.35619128077493,0.515301683589444,2.8026558115731,-0.450992019181582
"LBPSEMA4BRAIN002",-6.48905413479094,0.00338512073444076,0.112183946641309,-2.63838858043956,-6.38387251429879,5.79038283526566,4.56379595071282,0.0671066135525809,3.50732472279299,-1.51289936768505,0.33810089016202
"LBPSEMA4BRAIN005",14.0128578332465,5.7408708804842,-0.895315697972349,-3.97663171716426,4.78352487561525,2.15758370122078,1.53511793252756,2.71370747027325,2.93681938526816,2.17599559773339,0.782352591148606
"LBPSEMA4BRAIN006",22.115624700969,3.73335135874795,-4.74534904461579,7.60466333459348,-3.47654383788529,3.81085552883457,1.74768477124938,-1.88351190769874,2.42557673729572,-2.6518749987382,-2.87615086706949
"LBPSEMA4BRAIN008",-27.8508643961928,1.81323132598655,3.96230513627195,-1.06766181545844,1.93770847815584,2.37341520881152,4.83216850152628,-1.03393245446389,0.37828614286797,-0.336968151195964,-0.644449505178186
"LBPSEMA4BRAIN010",-7.44543593608248,3.63444185031294,-3.20946347668576,0.429096698841718,-4.45960807918854,4.02821371902625,5.2088059929168,3.1428968052712,1.39557110979143,-0.470255110050593,0.64567800590041
"LBPSEMA4BRAIN014",2.24488175671292,7.25176431007818,3.70925683970111,-2.31158724072306,3.18863228540588,-1.87877049751523,2.96036566252818,-4.27558383046499,1.59296857276137,-0.405445872705227,0.221825479786713
"LBPSEMA4BRAIN016",-24.2535677732847,-2.3380936699973,2.16086353247474,3.66217963983219,3.23480499609297,7.49839497354058,-2.95575027582566,3.11197447673024,-1.8203091634328,-2.03245070733258,-0.187997831895747
"LBPSEMA4BRAIN017",-0.661817018589141,-20.8756434823767,4.84433292660127,6.40428210267189,-6.53402194994895,4.25355023675608,-0.907197732171533,6.15226943471864,1.88187321170348,0.533192109635379,0.496816182021097
"LBPSEMA4BRAIN019",7.88011868994115,4.82938760751505,-6.45537382829729,9.52768536301766,8.89895818790618,4.253844378394,2.77072397935908,0.526924646137802,-2.51381022012107,1.15023977814277,-1.31160242380541
"LBPSEMA4BRAIN020",-5.35031642173924,-15.7492837144,8.5841288338457,2.85396428468798,2.94720653102622,-3.80731957670173,1.91099652616581,4.20523375296524,0.866885423153329,-2.8828230680581,-0.662097473036077
"LBPSEMA4BRAIN025",6.7843995402898,-1.61344285404429,-3.24652723862045,-2.96808353404233,5.05150721386439,9.08881341203253,0.78656457481961,1.42765928534004,-4.2508396559444,0.71345810425604,1.05540701285919
"LBPSEMA4BRAIN030",-20.8677071724776,-12.653339464642,-8.11091348670431,-1.93429609748135,-4.880787367281,-0.126100008069408,-0.160596166628384,0.753949113180361,-0.87533546129027,0.5377341927372,0.111741425307781
"LBPSEMA4BRAIN032",-2.73481403566237,-6.11231361481227,-1.83978121910252,-6.02678415444583,3.57143444350826,4.8960463572698,-0.447661574857615,2.30913393668573,2.39875143730489,1.11520212443407,1.15280693153837
"LBPSEMA4BRAIN033",-17.7748194958708,4.37760862513462,-0.346672481090794,7.4637739116835,5.54672121655134,3.18617572328675,1.93190739733024,-1.07345974295202,-2.80081225334953,0.789506837397927,-2.21266981494235
"LBPSEMA4BRAIN034",14.8596077846714,0.605230851680411,7.48125729037611,2.59377524387246,-9.0412755290359,-2.36818073445901,2.37624686873273,1.97657089080079,-2.69622908440989,-1.88531366567422,-0.193897362063751
"LBPSEMA4BRAIN035",-10.424992107373,18.679311945867,5.56373173460189,3.55816387536058,-5.05387212304426,3.04380699128299,-3.62284943200072,1.26755927669159,-0.439477393163826,-0.562285721297755,0.215296173003108
"LBPSEMA4BRAIN038",13.8004656654232,4.59934543303455,-9.045451029835,-1.26926748151893,6.58958893377046,-7.5737873294032,2.72589477630085,1.369552918889,0.390668310862238,-0.45768195633545,0.0963066156069817
"LBPSEMA4BRAIN039",-4.32875155573158,21.4771338603107,-4.50540093123819,17.5406324543616,1.06285332587738,-1.25746323286411,-6.79517855016422,9.20958111992544,5.70843084501227,-0.86595027739589,3.87564391523408
"LBPSEMA4BRAIN044",16.9438964160963,3.79422385456867,4.72580357133995,-2.39225462749557,3.54960889257126,2.3537388006889,-0.58234749050981,-5.84669114306563,0.827894840504179,-3.72572175460925,-0.160760407694216
"LBPSEMA4BRAIN045",-1.54895056895571,6.34834545913517,-4.92790939937884,0.941360052668808,-4.56968493681461,-0.0700190333015287,5.74845798070467,-1.54919182109508,0.194352548078962,4.98937380060117,0.232625851195843
"LBPSEMA4BRAIN050",19.9930017003427,1.93041075446152,-5.71956994335138,2.98924698929441,-5.36250423017714,0.298817321878912,4.75839324885344,1.64003375446809,0.665874876301685,0.289318852297268,1.57370135282136
"LBPSEMA4BRAIN056",-6.02629270671358,8.66934026894541,-2.19777150670199,-0.69003425538539,3.61852742499864,-5.81339655950144,2.47946023751076,2.80821019234015,1.73808906330152,-0.202418908050203,-0.385081416380515
"LBPSEMA4BRAIN058",16.1905511524444,0.613197753670369,-0.300165636705242,2.76742425470084,-6.25744674628496,9.78163497039557,-0.855223850841706,-2.03403617168734,-5.79151676850717,0.243653456994127,-3.76058492473546
"LBPSEMA4BRAIN060",24.8032562202935,0.123763497785889,-7.62403219444294,2.50244407847254,8.00715325901628,0.0647732292878497,1.3815026486063,2.84629088262162,-3.92971837619792,-2.71823788068943,-5.22148584404094
"LBPSEMA4BRAIN063",-9.12342494570657,6.83440846254333,-1.53899400459166,4.66371976705219,-3.5011764738997,3.41812513212919,1.51333101029513,-0.194401428381095,0.651924268507044,0.294173096695227,-2.26324896834412
"LBPSEMA4BRAIN064",0.453577422860529,-17.2211700010935,11.3749410252647,-4.91213485814772,1.19111432838079,2.17714155443055,2.51050717449308,1.99009775752496,0.385176042654548,2.41263936071593,2.27635593220439
