"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"LBPSEMA4BRAIN001",-16.9755844233377,5.19512942023831,-2.78081099616746,0.0805398598679103,-0.861812357162913,0.0621395169777183,-1.56241770283148,3.2745376275974,-0.24578263828031,2.97278672832131
"LBPSEMA4BRAIN002",-13.8639235840562,2.86914954382517,-1.60881116890758,2.11466948499358,0.245990910352085,0.504564322926278,3.83713114905716,2.52627234914753,0.780776926225052,-0.895983498209178
"LBPSEMA4BRAIN003",-16.2701875622377,3.41935246148512,3.04209465014717,-1.10213455992884,0.865048972208019,1.92481525541323,-4.71601552928743,0.82980218580852,-0.375125294617089,-0.100923001731254
"LBPSEMA4BRAIN004",13.4201102382497,-7.83838551914615,-3.14222651786236,-9.74147604244049,5.50776764046959,4.35729983766934,0.74424737758843,0.0942982919230795,-0.894571834256661,4.00936544199993
"LBPSEMA4BRAIN005",2.98643477058206,6.2359626783879,-4.29411902188905,1.80954608750386,-1.0985682430748,-2.26949740372789,1.09233960619445,-0.742157003212257,-1.48652852037155,-0.152582015874185
"LBPSEMA4BRAIN006",11.1853032537363,2.62371081941284,-9.32140096883572,1.94136014930769,-2.57004403631611,-0.766916771256432,3.09889810433762,-0.795753562396092,2.53804004969868,-0.781687765129785
"LBPSEMA4BRAIN008",-31.019767056159,-3.12706214367728,-1.00846232390721,-1.03848310887746,1.3029046034628,0.235109448950713,0.326602717339997,1.99288620820782,0.586840715323079,2.41040544372408
"LBPSEMA4BRAIN010",-14.4237978760179,2.16587781366783,-3.8874396192111,2.23427696995897,0.200458866657912,-1.66617744082218,0.965671053139115,1.49009160451546,-0.746787693901867,-1.00503461968243
"LBPSEMA4BRAIN012",-15.2793241510564,6.21108009909064,4.4500463254793,1.68599616503905,-0.329687758996653,4.2183472817128,2.59216499714959,4.89464154968842,2.67250837811614,2.6205735323667
"LBPSEMA4BRAIN013",32.5286152646939,-9.82015919003758,-4.78971143395231,-5.47636330472886,4.30286645832533,0.58944320207741,-2.71741709482115,2.90783891319787,-0.44734741314435,5.20056702126746
"LBPSEMA4BRAIN014",-8.16424246427256,3.71316872140569,-5.04511015870508,-0.616647921757701,-2.11661178017653,1.32612443199469,-0.166214997252093,1.34820322117283,1.3240547973517,-0.881522009261665
"LBPSEMA4BRAIN015",-28.6606410803331,4.13079360231545,2.65314167121803,-4.11731718690449,2.01187360899944,2.62746674813764,-2.17330958814056,2.61486243870164,0.368928856726304,1.26948094099016
"LBPSEMA4BRAIN016",-25.9220017942052,-6.52787896538627,0.578218782675793,-3.30727687116587,2.74138359136201,-2.80411660701115,0.919923639826279,-3.20658254187719,-0.72536657813486,1.27241005252902
"LBPSEMA4BRAIN017",-4.4124418735706,-7.79806027596139,5.30402191530445,2.70230565070911,-6.29979507698026,-1.43414787465385,4.00225930925801,-0.904022806312314,-1.98621126110928,-0.342511529854089
"LBPSEMA4BRAIN019",0.292472663516073,0.60996122466147,-11.8510255980333,1.29425983796968,-1.57474470518053,-3.70547849764464,-0.0773184841359595,-1.9456048879477,0.741615681879719,2.40000006006917
"LBPSEMA4BRAIN020",-10.975752328359,-6.73417179540893,3.13029476457928,1.66220081525246,-7.66533273128425,-0.531141272590207,1.37984268099514,1.45990317534591,-2.0075827746591,0.116001715632163
"LBPSEMA4BRAIN021",-18.6465752464508,-7.82121811391719,4.88523421300374,2.26658681280731,4.96851258024317,-1.93124629357504,2.87910337735463,-1.28312100830339,1.48505568059227,-0.316516606376544
"LBPSEMA4BRAIN022",-2.20198738033121,4.79814188305046,2.8688286398892,-7.27953268786884,1.17642562956158,0.583884398877146,0.159272737106808,-2.47448326512762,2.59954721445595,2.05070796458827
"LBPSEMA4BRAIN023",29.6959459555852,-2.3486659505567,-0.908899191509172,0.483128779340916,2.09781308451788,-9.34914505936682,0.241297399539461,3.15653109036175,5.42665370615539,-0.797706620159699
"LBPSEMA4BRAIN025",-1.24036772917829,4.79023605006033,-4.36610228036109,3.59986068261503,2.1200745211953,-0.795419348758087,1.89801411430532,-2.11772666535998,0.278638623155308,3.21754881479111
"LBPSEMA4BRAIN026",5.49476475142112,-0.829305154110778,4.82776330041254,4.40525139361236,3.4044777372482,-0.226182964321157,4.06600155168828,-3.04984837222396,1.50451267398274,0.0105949526248824
"LBPSEMA4BRAIN028",-17.9557330151122,3.62224872822538,3.76362368156376,-0.0893223001717259,2.06903907511477,1.67079133125998,-0.257598426101479,2.82862725473659,1.71991317971197,3.03788233722678
"LBPSEMA4BRAIN029",-5.36526258387532,-0.592941398425996,4.09192096370863,0.992283408954832,3.55267697002646,3.25822076015935,-1.46422397698969,-4.4510797396116,1.9478219458528,-0.828432534137454
"LBPSEMA4BRAIN030",-22.7009748489019,-6.93292232586988,0.97585403206487,6.73162329704897,2.66382658122664,0.0770388914172663,-0.687204072124221,-0.737479075964364,-1.72450784125358,-1.31225346994083
"LBPSEMA4BRAIN031",26.2116750341932,5.12907678108067,2.74503829827938,-0.0543266483639236,0.466115863432287,-0.187587575928503,0.89997566281665,-4.99540555181506,-0.507040672484179,0.173261656033833
"LBPSEMA4BRAIN032",-9.05096802558767,1.23590184940034,-0.310092835136034,4.03730767436593,2.02306091554707,-0.218756936309359,2.6336526745649,-0.17361344854248,0.7076128337001,-0.0318146378980566
"LBPSEMA4BRAIN033",-21.5388764470484,-4.0177184167413,-5.82441950595145,-2.60325735435718,0.53355316318859,-3.29415481677204,-1.10556905594799,-1.14743807685517,-0.0862758630768467,3.45666490779977
"LBPSEMA4BRAIN034",3.41482301943096,2.88597398274646,0.259101486716442,-0.929600763418469,-6.58529347390854,-0.700665919740287,0.639114218609947,1.13444023241322,-1.49923872312063,0.83744691345208
"LBPSEMA4BRAIN035",-18.3631304063198,2.75330269835345,-2.90446071879588,-9.78816646759391,0.771652843452262,-1.70809085770466,2.44871679879444,-1.45578932220477,-0.164025304449191,-0.814071065814508
"LBPSEMA4BRAIN036",2.943317108016,8.48485910311344,3.1564193680495,1.76675637544211,3.47694505272371,-3.83481867245173,-3.97081399374824,1.21418199498323,-0.0586971420618188,0.61050407374289
"LBPSEMA4BRAIN037",41.4568802330299,-1.92386898738492,-5.33505383267554,-1.94046164784825,3.52332600485663,3.10890493262145,2.06179005128545,0.0856200757497632,-4.09771209610777,3.66911043361645
"LBPSEMA4BRAIN038",2.0798315665465,3.32164354725766,-10.1965292706083,4.72511395621109,-2.48880864725597,-0.956472379118041,-2.71558215121791,1.25122921697706,-0.229231021427326,-0.214728266177555
"LBPSEMA4BRAIN039",-10.7879854658077,-4.74687891984874,-10.0367030826413,-11.4703224119886,-1.8856315085897,-4.8664946859725,3.42042724344768,0.76481615769548,-3.69003000241292,-3.16465665783744
"LBPSEMA4BRAIN040",7.93752493355802,-0.540427246321021,3.98023582524148,-1.53571775526475,1.89899069063126,-3.04909347327493,0.899216112595872,0.329209944429446,3.32025224180098,-2.28626649888681
"LBPSEMA4BRAIN043",29.4276693426236,-8.41800382885815,1.13140473345254,-3.29097957731625,-6.55963875426104,-3.47889214924401,-2.10585399089413,-0.0959608479782315,2.57452693081127,0.701397454804142
"LBPSEMA4BRAIN044",5.53995179403456,4.33755112244724,-3.97010789556023,-1.05787012969221,-1.63141775723725,1.85533310863576,3.62645642288646,-0.042468442205638,2.82770717619191,-1.09799735732392
"LBPSEMA4BRAIN045",-9.62287518019229,3.58099238465255,-5.94501332432431,2.20895027164603,-1.67387045340664,-0.688789829056024,-0.71525937894063,1.9030541737227,-0.111925395713173,2.56910849775986
"LBPSEMA4BRAIN046",3.73986283519853,6.93765005108882,2.52060620989936,-1.42008803016135,1.13285652072302,2.53293379557721,-2.57252724226064,-0.796409983620091,0.872621632891737,-1.12720539050559
"LBPSEMA4BRAIN047",16.0183023202088,6.98335706164152,10.1632155566522,0.343688882334422,-4.15224074579246,2.63294800942351,1.51273573703066,-0.994556862402132,-0.531615632025111,2.71694435267138
"LBPSEMA4BRAIN048",55.0663101165221,0.302034898804188,1.28793638205023,6.74546545318453,1.55104477952215,1.3852775869805,1.21471745011903,0.607582326035523,-2.95928127562218,3.69420061903799
"LBPSEMA4BRAIN050",8.35777407924956,5.14657372436972,-7.47644978219233,5.02063743984246,-3.44295960650228,-2.32820225810785,1.39729266717184,0.372477471332006,-1.22054376422933,-0.445320346544449
"LBPSEMA4BRAIN051",-6.16064964083572,-11.5615026433017,10.2274327079084,0.193552777902503,-5.77646785623129,-7.2840342580506,1.12568064458799,2.42230897756274,0.169397824101062,-2.83562653821936
"LBPSEMA4BRAIN054",32.8464194697975,-7.70670522639789,-5.19143440444743,-6.2840910348273,4.08282351508724,-2.34229267985177,-1.91561463848533,4.95401151612391,0.936128000486737,1.17424733264515
"LBPSEMA4BRAIN055",30.7212911195871,-2.35550398283272,5.13318963473655,-0.497815483387751,-6.58390224874537,3.01553870044355,-0.432206338368303,-3.95510762487911,1.76561760002703,2.01677539928232
"LBPSEMA4BRAIN056",-15.0862425602815,0.596051391705076,-6.21172424907418,-0.814152448585291,-1.47194888821665,-1.53693064001014,-1.48165409289311,1.3091109962662,-1.41544706936907,0.530830678526428
"LBPSEMA4BRAIN058",7.17358568522975,4.49502311007026,-3.3578490330143,-0.0888338121550192,1.20108276544335,-0.607165062399091,2.68844930894226,-2.99285645306768,2.24802261575438,3.16137698047711
"LBPSEMA4BRAIN060",13.3575381117126,2.64672294001295,-9.37805194213646,5.44071073324317,-1.78031208553099,-3.61068620996839,-0.41864610658389,-1.34707092682714,-0.32866480044109,-0.431504927687025
"LBPSEMA4BRAIN063",-15.5640145572581,0.477709200992208,-5.64123554081815,-2.27545181465988,-0.203440175286557,-0.536940660312518,0.459685932693416,-0.637095060402355,0.466000339543371,1.56216053937808
"LBPSEMA4BRAIN064",-6.03808299440836,-1.59038533839402,6.86252167636531,2.94975423910502,-5.88146877396782,-0.245553996314946,2.92769669391741,1.62802015302197,-2.86233367206294,0.170673083259463
"LBPSEMA4BRAIN065",-22.4911030128524,-5.82653311334688,-2.25552319755285,4.17197658141974,1.27877116931885,-0.693566605765035,-0.318248800441541,0.0871611745783286,-1.6883566942847,-1.48003581024255
"LBPSEMA4BRAIN066",32.4864713584626,-7.66685880518955,1.60103849115438,-1.42478370626345,0.981081911235766,-3.70889285647417,-1.1631067460003,5.61668909118558,2.73458258772052,-1.30720230149003
"LBPSEMA4BRAIN069",4.34172891448647,4.81749077593402,-4.82988464018795,2.60712054704753,0.907745231391118,-0.408326599318815,2.3082123520836,-2.44275716511771,0.00785329781463107,-1.20415895785114
"LBPSEMA4BRAIN071",21.5828434585772,-1.264585136536,1.159619909563,-6.98549504581288,2.61233226325905,-7.95337495227024,0.397930907347717,-0.252957885482646,5.49261340949087,1.73900144611013
"LBPSEMA4BRAIN072",29.8911540471684,-0.808997276341012,6.84373894247255,0.452486591288702,-3.90766234940538,-8.89635117206155,-2.61699477268797,4.30293417312637,4.59671480078346,-1.84280899914413
"LBPSEMA4BRAIN077",-6.68519412738276,1.89963796614071,0.46895129594898,8.24665781434161,5.78069161401751,0.492314283101223,2.30711383951075,-1.54800541457239,-1.09110587140953,-1.31883492751279
"LBPSEMA4BRAIN080",0.184093936712104,4.58669188144025,-6.23516118307257,0.0761416945539937,-2.22954463322027,-1.16796914410195,-0.688489049714409,-0.752663173825505,-1.76694021047188,-0.514266826636649
"LBPSEMA4BRAIN081",-20.8803515901538,-9.28962358908274,3.18196797202309,2.45470916809346,3.34131357391951,-1.53319649450021,-3.50303420241655,-3.30968088610034,-1.11356118893438,-2.05959224112698
"LBPSEMA4BRAIN083",12.2688009573166,-0.0781277084372764,4.44600464002107,1.28284171965492,0.0190004960862175,-4.45057228090894,-6.54727089278875,2.43952314794493,5.58468117831112,-4.30870242399876
"LBPSEMA4BRAIN084",-21.6084865009829,-5.1754308869243,1.28734231812777,4.76562974137618,1.95329919791293,1.94819158447082,-0.277429102002036,-0.132135877966475,0.367852780101117,-0.561638335134064
"LBPSEMA4BRAIN085",-8.59556852938016,7.17993705083877,4.71939459229858,-0.431452151471651,2.16467726188458,1.49238277335042,-3.9806987231863,0.121016545165346,-0.265299644544896,-1.45889058182262
"LBPSEMA4BRAIN086",-0.647685622879852,3.12826044472848,-3.33861544675801,3.18875078223865,-2.15454310554934,1.82541728428034,5.53642603021865,2.32034975720115,3.05507220572536,-0.59908894635586
"LBPSEMA4BRAIN088",-19.7727512523006,2.54513476187912,-7.89187115400793,-5.83190488317544,-1.73126905000354,-3.57175463252129,1.37073698238268,1.28724940138008,-2.02288912478555,-1.3527538033168
"LBPSEMA4BRAIN089",-2.99074623171515,6.87295767370152,-3.99484427238868,-1.91288736851159,2.35732768089781,-0.160505604680192,1.89794698005293,-2.0655862651934,0.806404823575401,1.65183008569608
"LBPSEMA4BRAIN091",-0.204647268588105,-8.54015692804641,-1.88079969384303,-6.95755437864942,5.33913157089453,9.9750147883243,-1.26821198278425,1.42339798078936,0.644929477774129,-2.63510178760281
"LBPSEMA4BRAIN092",-15.0646753992585,6.22470093702259,4.64549668524277,-1.35061230993644,1.3269177141431,3.65392541651455,-3.94290139721338,1.00933425177609,0.0751949280302679,0.26797446805067
"LBPSEMA4BRAIN093",6.12667652388856,0.410819201710039,-10.2706065828604,2.09733536434589,-3.91622493644767,-0.205406025336366,-0.0743615133242375,2.07794355855863,-2.06349853822551,-1.89587472491745
"LBPSEMA4BRAIN094",5.11307860217673,4.37614613796158,4.5034916576301,-3.22239631165916,2.64341678046271,3.71243080383455,-1.04718613429803,0.0450296800782731,-1.1330749203097,-0.694190358928609
"LBPSEMA4BRAIN096",32.5152847492537,-7.67240812758782,-3.98228586744042,-0.369905400963525,4.19356749339785,1.41331530208453,-4.25418186100863,5.83462441826904,-2.16353766266529,-0.371977635935137
