"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"LBPSEMA4BRAIN001",-8.03622665306148,-4.31576553009528,-0.655600622969134,3.04738582824107,-5.62105101288607,2.39210412355279,-0.415781056282886,2.67874760659536,-4.0587858615095
"LBPSEMA4BRAIN002",-5.32952901038119,-1.60754287530748,-1.03725422290718,4.5893173001837,-1.90986735876837,0.709926354513832,3.11498289378879,-2.22598265969561,0.174812023757131
"LBPSEMA4BRAIN005",11.9091582666758,-3.33135427477581,-0.766048299136568,2.201371864339,-1.66873657838097,-2.23633775059747,0.585771005523537,0.301744229635984,-5.17772924900226
"LBPSEMA4BRAIN006",20.0023561956625,-2.3282943153306,-1.84618592288505,-3.57965926179368,1.96037021961174,1.0520316462365,3.09871533794203,-0.61591175279085,1.99914770735404
"LBPSEMA4BRAIN008",-23.6976655510311,-0.476313721036691,-0.861645404553536,0.914396695268068,-1.36685770635773,1.15768369596809,1.30216534630873,1.27969893984743,1.38901362775849
"LBPSEMA4BRAIN010",-5.82893098865116,-2.41770648460046,-2.60244446519037,1.84507154566453,-2.75918144789894,-1.5533109743945,0.871048893794807,-1.461922345216,0.360772078543077
"LBPSEMA4BRAIN014",0.627516924242926,-3.67571154970016,0.365980480906828,-0.0013689285771439,-1.62540600008152,3.1118588899956,-0.554387799029664,-0.651306730620543,0.843047444805474
"LBPSEMA4BRAIN016",-19.7591127877833,1.22691007507024,1.25351551166304,-1.18439014976675,3.68421118614396,-4.49689481811886,2.00979349982011,1.75399120798871,-1.21574158893855
"LBPSEMA4BRAIN017",1.95606023300025,12.3857011486874,4.28003516803103,0.295623203080206,0.910601206706523,-3.95446429220305,2.02108726667981,-1.61238243689383,1.25378934942722
"LBPSEMA4BRAIN019",8.96589685601601,-4.14007329073394,-4.59183018636265,-7.22893644751034,-0.0230027006087764,-1.48821389168797,2.07040557094201,1.96318741726631,-0.955388660201063
"LBPSEMA4BRAIN020",-4.06464250669142,10.1613773339768,3.73355535545171,-1.62622240260412,-2.75500998671036,-0.611494020288724,0.335691391378534,-1.16355040509766,1.88608590920214
"LBPSEMA4BRAIN025",7.44086504520839,-2.81203599588813,-3.76386567666001,3.12289461995574,1.04826264794507,-2.4138366470108,1.82016031899373,2.6027379091963,-0.992826174711245
"LBPSEMA4BRAIN030",-15.965861561338,6.54248603151552,-6.11317458063639,2.23589429100527,1.67592391729191,-1.90621134242386,-1.44636679000889,-2.050413252388,1.29112389180486
"LBPSEMA4BRAIN032",-1.04968561110136,0.769926235056422,-2.65193023397663,5.00216540666667,1.37819737529988,-1.27389593861997,1.90856400425739,0.524055499902621,0.345586137001132
"LBPSEMA4BRAIN033",-14.3026808437987,-2.10885135198278,-1.44642381370133,-5.60349380905482,0.120261113416516,-1.33850575532937,1.32020363242858,3.71346387736115,-0.418232657607076
"LBPSEMA4BRAIN034",11.6026134708638,2.47383601051243,5.61093127661638,0.263075851662544,-3.09803949498727,-1.32339992925472,-0.594197597409725,1.26318341871903,2.89053064841052
